dateTime,latitude,longitude,uaqi,uaqi_category,uaqi_dominant_pollutant,idn_menlhk,idn_menlhk_category,idn_menlhk_dominant_pollutant,co,no2,o3,pm10,pm25,so2,health_general,health_elderly,health_lung_disease,health_heart_disease,health_athletes,health_pregnant,health_children
2024-11-22 07:16:06.603793,-67.21548151639499,154.68694842063684,497,Hazardous,so2,175,Unhealthy,pm10,181.22,194.02,21.57,181.48,183.81,56.14,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-26 06:29:06.603807,-40.804129459530124,-133.79521715547196,24,Good,no2,443,Hazardous,pm25,146.41,64.28,27.61,12.11,194.48,198.92,Air quality is good for outdoor activities.,Outdoor activities are safe.,No special precautions needed.,Air quality is safe.,Outdoor activities are fine.,Air is safe for outdoor activities.,No restrictions for outdoor play.
2024-11-26 20:20:06.603817,83.1426752215367,16.87145385279129,331,Hazardous,co,311,Hazardous,co,165.04,38.6,28.94,64.07,53.21,74.52,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-23 06:19:06.603828,52.882830837971966,-133.91188619624694,157,Unhealthy,so2,22,Good,pm25,112.76,186.46,42.37,55.9,37.62,82.33,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-21 13:29:06.603838,-24.860627984166698,0.24290223067080774,453,Hazardous,o3,262,Very Unhealthy,no2,117.99,99.93,96.21,138.88,6.64,5.58,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-22 13:07:06.603854,-24.300135371299334,26.54817974181256,46,Good,so2,221,Very Unhealthy,pm25,132.59,186.93,164.54,3.34,164.89,146.24,Air quality is good for outdoor activities.,Outdoor activities are safe.,No special precautions needed.,Air quality is safe.,Outdoor activities are fine.,Air is safe for outdoor activities.,No restrictions for outdoor play.
2024-11-23 21:27:06.603869,70.40093703315597,97.70850885143562,328,Hazardous,no2,388,Hazardous,no2,194.42,22.0,171.63,198.3,77.7,33.13,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-23 09:43:06.603880,-3.7487514645016375,155.32317084927803,79,Moderate,co,169,Unhealthy,pm10,74.93,2.91,195.65,92.86,159.49,20.82,Air quality is good for outdoor activities.,Outdoor activities are safe.,No special precautions needed.,Air quality is safe.,Outdoor activities are fine.,Air is safe for outdoor activities.,No restrictions for outdoor play.
2024-11-24 15:22:06.603892,24.729967285474473,-147.07296301337777,121,Unhealthy for Sensitive Groups,co,130,Unhealthy for Sensitive Groups,so2,102.81,127.39,132.33,6.04,189.96,48.92,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-22 18:28:06.603902,8.038484861967774,-77.2635825585148,284,Very Unhealthy,o3,337,Hazardous,o3,106.94,100.15,53.89,196.89,156.77,86.67,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-26 16:40:06.603928,44.683107131602924,93.38995251544134,54,Moderate,pm25,435,Hazardous,so2,187.22,152.27,24.9,8.93,68.66,62.75,Air quality is good for outdoor activities.,Outdoor activities are safe.,No special precautions needed.,Air quality is safe.,Outdoor activities are fine.,Air is safe for outdoor activities.,No restrictions for outdoor play.
2024-11-26 18:20:06.603946,51.39555169571375,68.63144430989286,103,Unhealthy for Sensitive Groups,pm25,66,Moderate,co,134.49,15.03,103.26,50.25,108.58,152.75,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-26 12:30:06.603958,53.66278954542298,-17.22846692929599,369,Hazardous,co,101,Unhealthy for Sensitive Groups,pm25,16.56,59.26,7.54,108.14,85.55,33.99,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-27 07:24:06.603969,-66.93406954796122,42.337776943497715,88,Moderate,o3,230,Very Unhealthy,no2,95.56,137.6,163.51,172.27,196.43,78.75,Air quality is good for outdoor activities.,Outdoor activities are safe.,No special precautions needed.,Air quality is safe.,Outdoor activities are fine.,Air is safe for outdoor activities.,No restrictions for outdoor play.
2024-11-24 21:40:06.603979,-78.60370056353126,11.862708716597211,184,Unhealthy,no2,272,Very Unhealthy,no2,79.06,116.83,88.22,160.83,31.44,6.15,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-25 12:38:06.603990,74.76247337206547,-76.03584365568156,234,Very Unhealthy,co,37,Good,o3,35.2,25.3,31.74,127.79,158.38,107.57,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-21 01:09:06.604000,-45.58422459628364,-44.86755825217287,457,Hazardous,o3,356,Hazardous,pm25,123.85,126.16,75.09,10.71,191.22,182.5,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-22 22:13:06.604012,-10.683312608670434,148.99142757232897,99,Moderate,so2,115,Unhealthy for Sensitive Groups,so2,179.53,175.65,22.02,7.2,133.76,35.62,Air quality is good for outdoor activities.,Outdoor activities are safe.,No special precautions needed.,Air quality is safe.,Outdoor activities are fine.,Air is safe for outdoor activities.,No restrictions for outdoor play.
2024-11-26 19:14:06.604023,87.79972102448508,79.08637389959154,338,Hazardous,pm25,459,Hazardous,no2,133.54,152.37,129.24,97.52,147.76,3.37,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-23 10:56:06.604033,20.392626682655035,-55.31097010399972,288,Very Unhealthy,co,91,Moderate,o3,84.95,167.37,197.23,10.39,145.66,106.12,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-26 07:04:06.604044,76.29324177096512,-104.94330111452577,193,Unhealthy,o3,411,Hazardous,pm10,169.92,118.59,124.06,89.71,143.35,62.57,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-27 04:37:06.604054,-2.869592799485133,126.34841595166893,279,Very Unhealthy,pm10,350,Hazardous,co,70.74,44.46,11.74,7.45,152.8,150.57,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-24 11:28:06.604079,-4.721570177281706,177.76722384738514,263,Very Unhealthy,pm10,356,Hazardous,no2,197.04,166.34,37.07,97.44,58.91,137.14,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-22 11:47:06.604096,30.18154312910221,-86.11227587215019,372,Hazardous,so2,24,Good,o3,188.69,183.32,84.76,158.32,64.17,152.05,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-24 09:39:06.604112,49.27588680143961,-39.53704414148481,73,Moderate,so2,286,Very Unhealthy,pm25,43.85,80.12,45.76,152.24,67.5,62.77,Air quality is good for outdoor activities.,Outdoor activities are safe.,No special precautions needed.,Air quality is safe.,Outdoor activities are fine.,Air is safe for outdoor activities.,No restrictions for outdoor play.
2024-11-26 12:24:06.604137,-9.108775139059873,-157.99238967285905,397,Hazardous,pm10,409,Hazardous,co,119.71,38.97,57.94,90.64,135.14,62.32,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-22 18:01:06.604155,-28.524078936195977,25.840207571949378,367,Hazardous,o3,198,Unhealthy,o3,142.7,71.28,161.7,115.26,0.99,136.32,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-24 00:43:06.604173,-61.90431293343485,70.91189490135542,276,Very Unhealthy,pm25,161,Unhealthy,o3,41.33,45.39,86.16,178.17,80.53,92.17,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-26 13:43:06.604186,-62.356168165126476,-125.14538864893763,289,Very Unhealthy,pm25,281,Very Unhealthy,pm10,42.78,1.72,193.05,35.97,20.0,174.1,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-24 08:59:06.604197,68.08521073588636,-19.230406222464666,178,Unhealthy,no2,56,Moderate,no2,38.05,172.96,157.24,12.56,142.11,140.97,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-25 10:36:06.604207,14.581965951182355,87.76227469787653,492,Hazardous,pm25,172,Unhealthy,pm25,101.37,24.27,13.05,35.31,164.78,78.63,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-21 22:59:06.604223,-72.36345052219576,43.617413554663756,495,Hazardous,o3,360,Hazardous,pm25,156.9,146.75,149.35,158.72,94.55,173.01,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-23 14:07:06.604240,-69.84067424040683,-6.466153809343808,277,Very Unhealthy,no2,418,Hazardous,co,187.63,113.49,53.06,138.98,77.46,43.86,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-27 07:21:06.604256,-84.16018960583278,-159.0113023592303,312,Hazardous,no2,39,Good,o3,144.85,90.41,95.94,26.75,192.84,18.13,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-25 11:20:06.604267,38.39461748641526,-128.98080347637477,266,Very Unhealthy,pm10,132,Unhealthy for Sensitive Groups,pm10,19.13,63.84,31.21,84.82,12.29,7.26,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-20 19:40:06.604278,-72.71041311990655,-104.37613896544697,326,Hazardous,so2,424,Hazardous,co,16.03,56.49,89.97,162.46,195.23,172.69,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-21 00:27:06.604289,-52.679455646526414,82.11925895960917,91,Moderate,o3,495,Hazardous,so2,113.05,179.8,158.64,39.67,126.5,45.82,Air quality is good for outdoor activities.,Outdoor activities are safe.,No special precautions needed.,Air quality is safe.,Outdoor activities are fine.,Air is safe for outdoor activities.,No restrictions for outdoor play.
2024-11-21 13:19:06.604300,84.04074492347172,-120.0291561910304,98,Moderate,o3,484,Hazardous,co,191.9,95.07,66.19,62.76,54.85,7.58,Air quality is good for outdoor activities.,Outdoor activities are safe.,No special precautions needed.,Air quality is safe.,Outdoor activities are fine.,Air is safe for outdoor activities.,No restrictions for outdoor play.
2024-11-23 02:06:06.604310,87.1462361433482,-67.01827631459136,358,Hazardous,o3,307,Hazardous,so2,115.87,172.41,61.03,190.68,181.19,106.78,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-25 10:04:06.604590,68.44485066184487,77.84804960658045,158,Unhealthy,no2,36,Good,no2,146.14,50.8,35.81,99.95,59.56,103.54,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-24 08:35:06.604613,-36.96122077519892,-169.27833790260365,411,Hazardous,pm25,361,Hazardous,pm25,85.64,181.15,172.57,87.12,58.28,29.09,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-26 15:11:06.604629,66.60331829737976,153.16342934124174,462,Hazardous,o3,330,Hazardous,o3,145.8,166.85,18.96,68.58,109.12,61.41,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-24 15:06:06.604646,5.7301782386286675,20.048844542141296,418,Hazardous,so2,257,Very Unhealthy,no2,130.83,141.64,98.0,129.81,26.65,74.28,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-21 00:29:06.604667,65.9180123387589,50.193030456384975,458,Hazardous,no2,480,Hazardous,no2,108.17,20.02,100.48,185.89,20.61,185.88,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-21 10:18:06.604685,85.87656737194749,-9.341808491755103,380,Hazardous,pm25,53,Moderate,so2,193.79,60.7,4.45,24.16,49.14,178.41,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-27 04:18:06.604698,-12.412919644479771,-131.82266639197798,41,Good,no2,138,Unhealthy for Sensitive Groups,o3,123.61,47.27,26.95,24.3,166.96,145.55,Air quality is good for outdoor activities.,Outdoor activities are safe.,No special precautions needed.,Air quality is safe.,Outdoor activities are fine.,Air is safe for outdoor activities.,No restrictions for outdoor play.
2024-11-24 04:26:06.604709,58.261022297469,117.24095694041586,59,Moderate,no2,486,Hazardous,pm10,123.0,59.76,29.02,127.32,142.22,96.16,Air quality is good for outdoor activities.,Outdoor activities are safe.,No special precautions needed.,Air quality is safe.,Outdoor activities are fine.,Air is safe for outdoor activities.,No restrictions for outdoor play.
2024-11-21 22:00:06.604721,-65.59808548293596,-122.137475540949,223,Very Unhealthy,pm25,49,Good,pm10,178.23,107.92,190.65,178.11,39.25,63.03,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-21 08:52:06.604732,62.65113860460616,153.4258275097672,212,Very Unhealthy,o3,290,Very Unhealthy,pm25,169.14,85.12,91.71,74.97,122.71,30.31,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-27 14:14:06.604748,47.685060544864456,-72.38296357486722,442,Hazardous,co,137,Unhealthy for Sensitive Groups,no2,152.23,46.92,56.1,63.9,155.95,45.45,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-26 11:09:06.604759,42.15821055499384,60.30975608295043,10,Good,pm25,33,Good,no2,80.31,50.33,136.74,198.42,151.51,33.76,Air quality is good for outdoor activities.,Outdoor activities are safe.,No special precautions needed.,Air quality is safe.,Outdoor activities are fine.,Air is safe for outdoor activities.,No restrictions for outdoor play.
2024-11-27 04:56:06.604770,79.95618026659423,-57.40205914350548,261,Very Unhealthy,no2,173,Unhealthy,no2,18.16,146.73,107.94,142.98,105.3,51.8,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-26 22:11:06.604788,-28.275613413601818,-92.07546860918553,465,Hazardous,no2,315,Hazardous,so2,72.47,18.79,15.66,136.35,71.4,85.24,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-25 11:10:06.604980,-27.436550485194132,31.14654939739475,446,Hazardous,so2,88,Moderate,no2,152.14,125.1,82.97,194.21,39.57,131.64,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-27 02:02:06.605006,70.24457228448449,-152.38914354837632,427,Hazardous,pm10,34,Good,pm25,12.65,180.33,40.31,170.7,132.7,97.53,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-21 00:50:06.605018,-81.91820878315717,-104.27946867158632,178,Unhealthy,pm10,500,Hazardous,o3,31.71,96.28,91.53,73.71,33.29,44.95,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-21 06:05:06.605029,72.85575969837464,-91.19885490661696,410,Hazardous,co,98,Moderate,co,189.66,171.42,112.56,99.26,184.09,179.34,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-22 08:48:06.605040,-33.722193029385515,-122.51147863285576,23,Good,so2,443,Hazardous,so2,85.66,25.98,94.27,4.98,117.99,125.97,Air quality is good for outdoor activities.,Outdoor activities are safe.,No special precautions needed.,Air quality is safe.,Outdoor activities are fine.,Air is safe for outdoor activities.,No restrictions for outdoor play.
2024-11-21 08:17:06.605051,-28.269237483075052,7.6820795537713025,1,Good,co,203,Very Unhealthy,no2,160.29,18.54,2.7,77.28,124.23,173.1,Air quality is good for outdoor activities.,Outdoor activities are safe.,No special precautions needed.,Air quality is safe.,Outdoor activities are fine.,Air is safe for outdoor activities.,No restrictions for outdoor play.
2024-11-21 15:53:06.605061,73.99996380392156,27.22877707482212,378,Hazardous,pm10,133,Unhealthy for Sensitive Groups,co,73.82,124.47,21.44,162.89,7.55,136.43,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-25 22:16:06.605072,15.50019613153124,-169.98577515018303,337,Hazardous,o3,46,Good,no2,154.41,171.15,195.02,124.4,171.88,110.43,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-22 19:29:06.605084,62.55088283283112,90.54360261660861,122,Unhealthy for Sensitive Groups,pm10,132,Unhealthy for Sensitive Groups,o3,181.13,63.91,159.94,49.44,104.78,78.07,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-25 16:19:06.605095,-9.801020030697842,124.7666229060082,337,Hazardous,so2,484,Hazardous,co,178.89,21.28,103.09,147.64,53.86,87.79,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-25 18:15:06.605105,-74.43118905696433,82.6211681496863,181,Unhealthy,o3,441,Hazardous,o3,124.64,72.95,129.34,29.91,103.74,15.58,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-27 04:03:06.605117,27.387839453803792,-171.04238163252973,2,Good,o3,31,Good,so2,198.31,56.13,135.06,163.23,16.3,187.88,Air quality is good for outdoor activities.,Outdoor activities are safe.,No special precautions needed.,Air quality is safe.,Outdoor activities are fine.,Air is safe for outdoor activities.,No restrictions for outdoor play.
2024-11-22 10:08:06.605141,-74.49190742208509,46.972672164940064,139,Unhealthy for Sensitive Groups,no2,261,Very Unhealthy,o3,193.81,74.56,28.84,195.86,163.51,99.67,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-24 05:23:06.605160,-25.304852242795235,-14.196574983280414,299,Very Unhealthy,co,233,Very Unhealthy,so2,14.99,169.84,169.02,117.37,127.31,141.8,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-24 09:25:06.605178,-70.36347410863709,158.2256479848645,268,Very Unhealthy,so2,78,Moderate,no2,76.11,67.09,11.05,48.12,80.03,194.46,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-25 22:13:06.605199,-0.6358143778073924,-152.40171171559606,422,Hazardous,o3,410,Hazardous,so2,65.55,51.28,135.6,118.66,129.17,77.33,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-24 04:06:06.605209,-27.881602266460085,122.24396032194278,34,Good,o3,401,Hazardous,co,160.93,125.97,142.67,55.09,83.72,166.21,Air quality is good for outdoor activities.,Outdoor activities are safe.,No special precautions needed.,Air quality is safe.,Outdoor activities are fine.,Air is safe for outdoor activities.,No restrictions for outdoor play.
2024-11-24 01:55:06.605224,69.08543751311174,94.38221133275118,186,Unhealthy,so2,84,Moderate,so2,75.96,68.53,132.74,77.42,64.04,44.14,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-27 12:46:06.605235,59.5174329817923,-104.963703624998,14,Good,o3,382,Hazardous,pm10,63.92,61.75,99.16,68.05,8.64,43.15,Air quality is good for outdoor activities.,Outdoor activities are safe.,No special precautions needed.,Air quality is safe.,Outdoor activities are fine.,Air is safe for outdoor activities.,No restrictions for outdoor play.
2024-11-26 11:33:06.605250,-17.64672116738417,41.73733066966335,420,Hazardous,co,226,Very Unhealthy,no2,108.12,60.63,132.48,170.0,150.75,131.73,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-27 00:46:06.605267,-22.539669004218737,132.65446367550862,390,Hazardous,pm10,174,Unhealthy,co,43.11,98.36,41.56,28.84,15.59,131.01,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-23 06:14:06.605292,0.8999658167894609,-27.184835044700094,76,Moderate,pm10,242,Very Unhealthy,co,35.8,155.28,144.71,136.83,142.11,37.18,Air quality is good for outdoor activities.,Outdoor activities are safe.,No special precautions needed.,Air quality is safe.,Outdoor activities are fine.,Air is safe for outdoor activities.,No restrictions for outdoor play.
2024-11-25 16:15:06.605310,-43.87548336506592,-20.655654089576416,37,Good,no2,471,Hazardous,no2,170.07,165.37,24.78,54.37,104.02,26.8,Air quality is good for outdoor activities.,Outdoor activities are safe.,No special precautions needed.,Air quality is safe.,Outdoor activities are fine.,Air is safe for outdoor activities.,No restrictions for outdoor play.
2024-11-27 02:04:06.605328,-10.53939783186739,38.255157911551976,326,Hazardous,so2,3,Good,pm25,187.96,82.62,33.62,197.37,137.85,8.45,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-23 16:10:06.605353,0.09455138862779222,-111.95796246608923,8,Good,o3,222,Very Unhealthy,pm10,50.15,132.93,118.85,163.38,15.05,110.7,Air quality is good for outdoor activities.,Outdoor activities are safe.,No special precautions needed.,Air quality is safe.,Outdoor activities are fine.,Air is safe for outdoor activities.,No restrictions for outdoor play.
